feature,chi2_score,p_value
chicago,98.02056074766355,4.140608754949769e-23
my,59.88658008658009,1.0048427610221791e-14
is,46.14099216710183,1.100417918625522e-11
luxury,41.679245283018865,1.0754459581497425e-10
smell,41.142857142857146,1.414994176900057e-10
was,40.627311522048366,1.8421379730517285e-10
location,33.765957446808514,6.21570855418575e-09
great,33.099378881987576,8.756668983454e-09
elevators,31.837209302325583,1.676500532655944e-08
decided,30.26027397260274,3.7778479213364165e-08
recently,29.349206349206348,6.044126543510715e-08
millennium,28.9,7.621291296382976e-08
finally,28.686567164179106,8.509192681225914e-08
seemed,27.81188118811881,1.3370250755796826e-07
are,24.337620578778136,8.084462018213488e-07
open,23.12,1.5219933628622845e-06
be,22.177474402730375,2.485731390946429e-06
floor,21.806451612903224,3.0158433514168086e-06
tiny,20.82857142857143,5.022804426885505e-06
star,20.62857142857143,5.575776173232622e-06
turned,20.571428571428573,5.744711919156852e-06
experience,20.265060240963855,6.7420639326455435e-06
priceline,20.0,7.744216431044084e-06
construction,19.6,9.546919845238142e-06
smelled,19.105263157894736,1.2370328048942245e-05
cleaned,18.75,1.4902335792427696e-05
very,18.577981651376145,1.6309347859228702e-05
clerk,18.253333333333334,1.9338723101124866e-05
security,18.181818181818183,2.007865612426483e-05
cool,17.19047619047619,3.381272563301575e-05
no,17.12621359223301,3.497622043586364e-05
found,17.124031007751938,3.501643573039319e-05
elevator,16.953488372093023,3.830686653716069e-05
conference,16.49019607843137,4.890228744029042e-05
comfortable,16.333333333333332,5.3121281594117234e-05
you,15.5278276481149,8.129958988369489e-05
arrived,15.36,8.884941911456687e-05
ready,15.290909090909091,9.215896806326964e-05
went,15.02721088435374,0.00010597213262676873
windows,14.727272727272727,0.00012423612343122093
prices,14.727272727272727,0.00012423612343122093
once,14.628571428571428,0.00013091465604670854
same,14.518518518518519,0.00013878850347882952
old,14.343283582089553,0.00015232211944804917
michigan,14.285714285714286,0.00015705228423075143
walked,14.225806451612904,0.0001621317520439264
counter,14.222222222222221,0.00016244084518680108
25,14.0,0.00018281063298183515
sofa,14.0,0.00018281063298183515
relax,14.0,0.00018281063298183515
smoke,13.88888888888889,0.00019394162910371944
prior,13.235294117647058,0.0002747267638079423
wife,13.164383561643836,0.0002853206338884947
many,13.120481927710843,0.00029208489020501546
walk,13.090909090909092,0.00029673231129314064
fridge,13.0,0.00031149097676738414
had,12.928182807399347,0.00032367184139844537
day,12.91812865497076,0.0003254150291550365
hotel,12.264150943396226,0.00046174325801619356
musty,12.25,0.0004652581580710504
renovation,12.25,0.0004652581580710504
call,12.226415094339623,0.0004711764349221642
rude,12.11504424778761,0.0005001665125006033
travel,12.1,0.0005042182294490058
street,12.0,0.0005320055051392493
originally,12.0,0.0005320055051392493
stated,12.0,0.0005320055051392493
website,11.950819672131148,0.00054623344713348
their,11.94054054054054,0.000549255417094393
suites,11.91891891891892,0.0005556671828002371
low,11.842105263157896,0.0005790632172192765
ice,11.842105263157896,0.0005790632172192765
towels,11.538461538461538,0.0006817102933708395
dog,11.266666666666667,0.0007891129890156307
recent,10.88888888888889,0.000967428450247746
charge,10.880597014925373,0.0009717691739708545
now,10.795918367346939,0.0010172413503286523
fresh,10.714285714285714,0.001063114917158605
accommodations,10.714285714285714,0.001063114917158605
regency,10.666666666666666,0.0010908351761252987
they,10.395294117647058,0.001263368747433571
